level	word	german	english	freq_rank
A2	direkt(3)	Ich möchte nicht direkt nach der Schule studieren.	I don’t want to study right after school.	678
A2	direkt(4)	Ich möchte erst reisen.	I want to travel first.	678
A2	direkt(5)	Wir liefern Ihnen das Sofa direkt ins Haus.	We will deliver the sofa directly to your house.	678
A2	diskutieren	Ich möchte das mit meinen Kollegen diskutieren.	I’d like to discuss this with my colleagues.	4138
A2	hat diskutiert			10000000
A2	doch	Hast du keinen Hunger? - Doch, ich bin sehr hungrig.	Aren’t you hungry? - Yes, I’m very hungry.	68
A2	doch(2)	Kannst du morgen nicht kommen? - Doch.	Can’t you come tomorrow? - Yes, I can.	68
A2	doch(3)	Geh doch mal wieder ins Kino!	Why don’t you go to the cinema again!	68
A2	doch(4)	Das macht doch nichts!	That doesn’t matter!	68
A2	dringend	Bitte kommen Sie schnell. Es ist dringend.	Please come quickly. It’s urgent.	1778
A2	drinnen	Wollen Sie drinnen oder draußen sitzen?	Would you like to sit inside or outside?	1417
A2	drinnen(2)	Hier drinnen ist es sehr warm.	It’s very warm in here.	1417
A2	drüben	Da drüben ist die Haltestelle.	The bus stop is over there.	774
A2	hat gedruckt			10000000
A2	dumm	Ich finde den Film dumm.	I find the film dumb.	955
A2	dumm(2)	Entschuldigung, das war dumm von mir.	Sorry, that was dumb of me.	955
A2	dumm(3)	Das ist mir zu dumm.	This is too dumb for me.	955
A2	dunkel	Um sechs Uhr ist es schon dunkel.	It’s already dark at six o’clock.	2100
A2	dunkel(2)	Meine Schwester hat dunkle Haare.	My sister has dark hair.	2100
A2	dunkel(3)	Ich will eine dunkelblaue Bluse kaufen.	I want to buy a dark blue blouse.	2100
A2	dünn	Das Buch ist sehr dünn. Es hat nur 40 Seiten.	The book is very thin. It only has 40 pages.	4988
A2	dünn(2)	Mein Bruder ist 1,80 Meter groß und 62 Kilo schwer, er ist zu dünn.	My brother is 1.80 meters tall and weighs 62 kilos; he is too thin.	4988
A2	hat geduscht			10000000
A2	das E-Book, -s	Liest du lieber E-Books oder Bücher aus Papier?	Do you prefer e-books or paper books?	10000000
A2	das E-Book, -s(2)	Entschuldigung, kann man hier E-Books kaufen?	Sorry, can you buy e-books here?	10000000
A2	echt	Ist das Bild ein echter Picasso?	Is the painting a real Picasso?	362
A2	echt(2)	Der Film ist echt gut.	The movie is really good.	362
A2	das Einkaufszentrum, -en	Kommst du morgen mit ins Einkaufszentrum?	Are you coming to the shopping center tomorrow?	7759
A2	einpacken	Soll ich Ihnen das als Geschenk einpacken?	Should I wrap this as a gift for you?	8721
A2	packt ein	Pack bitte die Handtücher ein!	Pack the towels, please!	10000000
A2	hat eingepackt			10000000
A2	steigt ein	Schnell, steig ein, der Zug fährt gleich ab.	Hurry, get in, the train is about to leave.	10000000
A2	ist eingestiegen			10000000
A2	eintragen (sich)	Sie müssen Ihren Namen und Ihre Adresse eintragen.	You need to enter your name and address.	15557
A2	trägt ein	Tragen Sie sich bitte in diese Liste ein!	Please sign up on this list!	10000000
A2	hat eingetragen			10000000
A2	einverstanden sein	Als Termin schlage ich den 11. Juni vor. - Gut, (ich bin) einverstanden.	I suggest June 11th as the date. - Good, I agree.	10000000
A2	einverstanden sein(2)	Bist du einverstanden, wenn wir bald nach Hause gehen?	Are you okay if we go home soon?	10000000
A2	einzel-	Nicht alle zusammen. Könnt ihr bitte einzeln sprechen?	Not all together. Can you please speak individually?	10000000
A2	einzel-(2)	Florian ist ein Einzelkind. Er hat keine Geschwister.	Florian is an only child. He has no siblings.	10000000
A2	einzel-(3)	Ein Einzelzimmer ist noch frei.	A single room is still available.	10000000
A2	einziehen	Wann können wir in die Wohnung einziehen?	When can we move into the apartment?	5947
A2	zieht ein	Im Juni ziehen unsere neuen Nachbarn ein.	In June, our new neighbors are moving in.	10000000
A2	ist eingezogen			10000000
A2	egal	Das ist mir egal.	I don’t care.	352
A2	egal(2)	Willst du Tee oder Kaffee trinken? – Egal.	Do you want to drink tea or coffee? – It doesn’t matter.	352
A2	eigen-	Nicht alle Kinder haben ein eigenes Zimmer.	Not all children have their own room.	10000000
A2	eigentlich(1)	Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben.	We actually wanted to visit friends, but then we stayed home.	364
A2	eigentlich(2)	Kennst du eigentlich Susanne?	Do you actually know Susanne?	364
A2	das Eis (Sg.)	Möchtest du auch ein Eis?	Would you like an ice cream, too?	1480
A2	die (E-)Mail, -s	Ich schreibe Ihnen/dir eine E-Mail.	I’m writing you an email.	10449
A2	empfiehlt			20857
A2	hat empfohlen			10000000
A2	einig-	In diesem Text sind einige Fehler.	There are some mistakes in this text.	10000000
A2	einig-(2)	Das dauert noch einige Zeit, bis das Essen fertig ist.	It will take some time until the food is ready.	10000000
A2	kauft ein			10000000
A2	hat eingekauft			10000000
A2	endlich	Wann kommst du endlich? Der Film fängt gleich an.	When are you finally coming? The movie is about to start.	480
A2	endlich(2)	Endlich bist du da!	You’re finally here!	480
A2	eng	Diese Hose ist zu eng. Gibt es sie auch eine Nummer größer?	This pair of pants is too tight. Is there a larger size?	3218
A2	entschuldigt			1754
A2	hat entschuldigt			10000000
A2	das Erdgeschoss, -e	Ich wohne im Erdgeschoss.	I live on the ground floor.	14431
A2	die Erfahrung, -en	Ich habe zehn Jahre Erfahrung in diesem Beruf.	I have ten years of experience in this profession.	1769
A2	erinnern (sich),	Erinnerst du dich an José? - Nein, ich erinnere mich nicht an ihn, tut mir leid.	Do you remember José? - No, I don’t remember him, I’m sorry.	697
A2	erinnert			1431
A2	hat erinnert			10000000
A2	erkältet sein	Lisa ist erkältet. Sie kann heute nicht zur Schule gehen.	Lisa has a cold. She can’t go to school today.	10000000
A2	ist erkältet			10000000
A2	war erkältet			10000000
A2	ist erkältet gewesen			10000000
A2	hat erlaubt			10000000
A2	erlaubt sein, ist erlaubt	Parken ist hier nicht erlaubt.	Parking is not allowed here.	10000000
A2	war erlaubt			10000000
A2	ist erlaubt gewesen			10000000
A2	die Erlaubnis (Sg.)	Haben Sie eine Arbeitserlaubnis?	Do you have a work permit?	2325
A2	die Ermäßigung, -en	Für Schüler, Studenten und Rentner gibt es eine Ermäßigung.	There is a discount for students, pupils, and retirees.	10000000
A2	erreichen	Wenn wir uns beeilen, erreichen wir noch den Zug um acht Uhr.	If we hurry, we’ll still catch the train at eight o’clock.	1182
A2	erreichen(2)	Bis 18 Uhr können Sie mich im Büro erreichen.	You can reach me at the office until 6 PM.	1182
A2	erreicht			1793
A2	hat erreicht			10000000
A2	erst	Wir können erst morgen kommen.	We can only come tomorrow.	278
A2	erst(2)	Dina ist keine 18, sie ist erst 16 Jahre alt.	Dina is not 18, she is only 16 years old.	278
A2	etwas	Ich muss dir etwas erzählen!	I need to tell you something!	83
A2	etwas(2)	Haben Sie etwas zum Schreiben?	Do you have something to write with?	83
A2	etwas(3)	Ich habe leider nur Tee. Etwas anderes kann ich dir leider nicht anbieten.	I only have tea. Unfortunately, I can’t offer you anything else.	83
A2	das Fach, ¨-er	Welches Fach magst du in der Schule am liebsten?	Which subject do you like most in school?	8075
A2	fährt (ab)	Achtung an Gleis 17! Der Zug München - Paris fährt jetzt ab.	Attention on platform 17! The Munich-Paris train is departing.	1190
A2	ist (ab)gefahren	Der Zug ist schon abgefahren.	The train has already left.	10000000
A2	der Fahrplan, ¨-e	Ist das der neue Fahrplan?	Is this the new timetable?	27731
A2	das (Fahr)Rad, ¨-er	Wenn es nicht regnet, fahre ich mit dem Fahrrad.	If it doesn’t rain, I’ll go by bike.	3838
A2	fallen, fällt	Pass auf, das Glas fällt gleich vom Tisch.	Watch out, the glass is about to fall off the table.	905
A2	ist gefallen	Das Glas ist vom Tisch gefallen.	The glass fell off the table.	10000000
A2	der Fan, -s	Er ist ein großer Fußballfan.	He’s a big football fan.	3394
A2	der Fan(2)	Bella ist ein Fan von Rammstein.	Bella is a fan of Rammstein.	3394
A2	fantastisch	Dein neues Kleid sieht fantastisch aus!	Your new dress looks fantastic!	1522
A2	fantastisch(2)	Das Buch ist fantastisch. Du musst es unbedingt lesen!	The book is fantastic. You have to read it!	1522
A2	fast	Der Film ist fast zu Ende.	The movie is almost over.	412
A2	fast(2)	Ich habe fast alles verstanden.	I understood almost everything.	412
A2	faul	Heute sind wir faul: Wir machen keine Hausaufgaben und arbeiten nicht.	Today we’re lazy: We’re not doing homework or working.	4816
A2	die Feier, -n	Wann hast du Feierabend?	When do you finish work?	3466
A2	die Feier(2)	Am ersten Mai ist ein Feiertag.	May 1st is a public holiday.	3466
A2	das Fenster, -	Kannst du bitte das Fenster öffnen?	Can you please open the window?	980
A2	die Ferien (Pl.)	Bald haben wir Ferien.	We’ll have a holiday soon.	4046
A2	die Ferien(2)	Fährst du in den Ferien weg oder bleibst du zu Hause?	Are you going away during the holidays, or are you staying home?	4046
A2	der Fernseher, -	Der Fernseher ist kaputt.	The TV is broken.	2589
A2	fertig sein, ist fertig	Das Essen ist gleich fertig. Kommst du?	The food is almost ready. Are you coming?	10000000
A2	fertig sein(2)	Wir müssen gleich gehen. Bist du fertig?	We need to leave soon. Are you ready?	10000000
A2	das Fest, -e	Frohes Fest!	Happy holiday!	608
A2	das Fest(2)	Am Wochenende feiern wir ein Fest. Meine Tochter hat Geburtstag.	We’re having a party this weekend. My daughter’s birthday is coming up.	608
A2	das Festival, -s	Am Wochenende ist in der Stadt ein Musik-Festival.	There’s a music festival in town this weekend.	12959
A2	fett	Die Wurst ist mir zu fett.	The sausage is too fatty for me.	2951
A2	fit sein, ist fit	Tom will fit sein. Er geht jeden Tag ins Fitnessstudio.	Tom wants to be fit. He goes to the gym every day.	10000000
A2	fit sein(2)	war fit	was fit.	10000000
A2	fleißig	Ibrahim ist sehr fleißig. Er macht immer seine Hausaufgaben.	Ibrahim is very hardworking. He always does his homework.	7184
A2	der Flohmarkt, ¨-e	Ich gehe gern auf den Flohmarkt.	I like going to the flea market.	17816
A2	der Flohmarkt(2)	Diesen Hut habe ich auf dem Flohmarkt gekauft.	I bought this hat at the flea market.	17816
A2	der Flug, ¨-e	Ich möchte einen Flug nach Kanada buchen.	I’d like to book a flight to Canada.	1834
A2	der Flug(2)	Der Flug LH123 von München nach Frankfurt ist um 21:00 Uhr.	Flight LH123 from Munich to Frankfurt is at 9:00 PM.	1834
A2	der Fluss, ¨-e	Der Rhein ist ein großer Fluss.	The Rhine is a big river.	1954
A2	der Fotoapparat, -e	Ich möchte mir einen Fotoapparat kaufen.	I’d like to buy a camera.	28220
A2	fotografieren, fotografiert	Ich fotografiere gern.	I like to take photos.	6731
A2	fotografieren(2)	hat fotografiert	has photographed.	6731
A2	freiwillig	Manchmal bleibe ich freiwillig länger im Büro.	Sometimes I stay longer at the office voluntarily.	2977
A2	fühlen (sich), fühlt	Wie fühlen Sie sich?	How are you feeling?	844
A2	fühlen (sich)(2)	Ich fühle mich heute nicht gut.	I’m not feeling well today.	844
A2	der Führerschein, -e	Hast du den Führerschein?	Do you have a driver’s license?	4158
A2	der Führerschein(2)	Sie hat die Führerscheinprüfung bestanden.	She passed her driving test.	4158
A2	die Fundsachen (Pl.)	Haben Sie meinen Schirm gefunden?	Have you found my umbrella?	10000000
A2	die Fundsachen(2)	Sie können dort bei den Fundsachen schauen.	You can check at lost and found.	10000000
A2	furchtbar	Er hat furchtbare Schmerzen.	He’s in terrible pain.	1416
A2	furchtbar(2)	Die Hose sieht ja furchtbar aus. So kannst du nicht zur Arbeit gehen!	Those pants look awful. You can’t go to work like that!	1416
A2	die Freundin, -nen	Das ist meine Freundin Susanne.	That’s my friend Susanne.	543
A2	freundlich	Er ist immer sehr freundlich zu mir.	He’s always very friendly to me.	2124
A2	freundlich(2)	Mit freundlichen Grüßen	Best regards.	2124
A2	frisch	Das Brot ist noch ganz frisch.	I just bought the bread, and it’s still fresh.	2285
A2	frisch(2)	Ich habe es gerade gekauft.	I just bought it.	2285
A2	froh	Ich bin froh, dass du kommen kannst.	I’m happy that you can come.	730
A2	froh(2)	Frohes Fest!	Happy holidays!	730
A2	früh	Geht es auch später? Sechs Uhr ist mir zu früh.	Is it possible to meet later? 6 AM is too early for me.	626
A2	früh(2)	Ich muss morgen sehr früh aufstehen.	I have to get up very early tomorrow.	626
A2	die Gabel, -n	Kann ich bitte eine Gabel haben?	May I please have a fork?	9483
A2	ganz	Oh nein! Was ist passiert? Ist deine Brille jetzt kaputt? - Nein, zum Glück ist sie noch ganz!	Oh no! What happened? Is your glasses broken now? - No, fortunately, it’s still intact!	146
A2	ganz(2)	Morgen haben wir den ganzen Tag Schule.	Tomorrow we have school all day.	146
A2	ganz(3)	Ich bin ganz sicher, dass dein Termin am Montag ist.	I’m quite sure that your appointment is on Monday.	146
A2	ganz(4)	Ich finde Lara ganz nett.	I find Lara quite nice.	146
A2	ganz(5)	Oh, ich habe meinen Zahnarzttermin ganz vergessen.	Oh, I completely forgot my dentist appointment.	146
A2	die Garage, -n	Hier ist eine Garage für dein Auto.	Here is a garage for your car.	3442
A2	Geburts-(jahr, ort, tag), (-e, -e, -e)	Das Geburtsjahr Ihres Sohnes, bitte?	The year of birth of your son, please?	10000000
A2	Geburts-(jahr, ort, tag), (-e, -e, -e)(2)	Bitte tragen Sie Ihren Geburtsort noch ein.	Please also enter your place of birth.	10000000
A2	Geburts-(jahr, ort, tag), (-e, -e, -e)(3)	Herzlichen Glückwunsch zum Geburtstag!	Happy Birthday!	10000000
A2	geehrt-	Sehr geehrte Damen und Herren,	Dear Ladies and Gentlemen,	10000000
A2	gefährlich	Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich.	You shouldn’t cross the street when the light is red. That’s dangerous.	932
A2	das Gegenteil , -e	Das Gegenteil von klein ist „groß“.	The opposite of “small” is “big.”	2219
A2	gegenüber	Die Post ist gegenüber vom Bahnhof.	The post office is across from the train station.	1257
A2	gegenüber(2)	Die Hausnummer 84 ist gleich gegenüber.	The house number 84 is directly opposite.	1257
A2	das Gehalt, ¨-er	Sie ist mit ihrem Gehalt zufrieden.	She is satisfied with her salary.	4997
A2	die Geldbörse, -n	Sie hat ihre Geldbörse verloren.	She lost her wallet.	16484
A2	genau	Sind Sie sicher, dass die Prüfung am 15. Juni ist? - Ja, das weiß ich genau.	Are you sure the exam is on June 15th? - Yes, I know that exactly.	171
A2	genau(2)	Die Uhr geht genau.	The clock is accurate.	171
A2	genau(3)	Es ist genau acht Uhr.	It’s exactly eight o’clock.	171
A2	genug	Es ist noch genug Pizza da. Möchtest du noch ein Stück?	There’s still enough pizza. Do you want another piece?	287
A2	genug(2)	Ich verdiene nicht genug.	I don’t earn enough.	287
A2	geradeaus	Gehen Sie immer geradeaus!	Go straight ahead!	5002
A2	das Gerät, -e	Elektrogeräte finden Sie im dritten Stock.	Electronic devices can be found on the third floor.	2416
A2	das Gericht, -e	Mein Lieblingsgericht ist Pizza.	My favorite dish is pizza.	1225
A2	die Geschichte, -n	Erzählst du mir eine Geschichte?	Will you tell me a story?	496
A2	die Geschichte, -n(2)	Ich interessiere mich nicht für Geschichte.	I’m not interested in history.	496
A2	die Geschichte, -n(3)	Paul hat gute Noten in Geschichte.	Paul has good grades in history.	496
A2	das Geschirr (Sg.)	Stellst du bitte das Geschirr in den Schrank?	Could you please put the dishes in the cupboard?	8358
A2	das Gesicht, -er	Wasch dir bitte das Gesicht.	Please wash your face.	571
A2	das Gesicht(2)	Sie hat ein freundliches Gesicht.	She has a friendly face.	571
A2	gesund	Ich hatte Grippe. Jetzt bin ich wieder gesund.	I had the flu. Now I’m healthy again.	1453
A2	die Gesundheit (Sg.)	Gesundheit! Sind Sie erkältet?	Bless you! Are you catching a cold?	2967
A2	das Gewitter, -	Ich glaube, es gibt heute ein Gewitter.	I think there will be a thunderstorm today.	9098
A2	die Gitarre, -n	Er kann gut Gitarre spielen.	He can play the guitar well.	5011
A2	die Grippe (Sg.)	Ich habe eine Grippe und kann leider nicht kommen.	I have the flu and unfortunately can’t come.	7746
A2	gültig sein, ist gültig, war g	Der Pass ist nicht mehr gültig.	The passport is no longer valid.	10000000
A2	der Hals, ¨-e	Mir tut der Hals weh.	My throat hurts.	1328
A2	der Hals, ¨-e(2)	Ich habe seit gestern Halsschmerzen.	I’ve had a sore throat since yesterday.	1328
A2	der Hamburger, -	Einen Hamburger ohne Salat, bitte.	A hamburger without salad, please.	7000
A2	das Handtuch, ¨-er	Gibst du mir bitte ein frisches Handtuch?	Could you give me a fresh towel, please?	5403
A2	hängen, hängt, hat gehangen/gehängt	Im Museum hängen moderne Bilder.	In the museum, modern pictures are hanging.	1541
A2	hängen, hängt, hat gehangen/gehängt(2)	Warum hast du das Bild noch nicht an die Wand gehängt?	Why haven’t you hung the picture on the wall yet?	1541
A2	hängen, hängt, hat gehangen/gehängt(3)	Das Bild von meiner Tochter hat im Wohnzimmer gehangen.	My daughter’s picture hung in the living room.	1541
A2	hart	Ich finde das Bett zu hart.	I find the bed too hard.	816
A2	hart(2)	Die Brötchen sind ja ganz hart.	The rolls are really hard.	816
A2	hässlich	Ich finde das Kleid hässlich. Es gefällt mir nicht.	I find the dress ugly. I don’t like it.	3201
A2	die Hauptstadt, ¨-e	Berlin ist die Hauptstadt von Deutschland.	Berlin is the capital of Germany.	6333
A2	der Haushalt, -e	Wer macht bei euch den Haushalt? - Meine Frau und ich machen den Haushalt zusammen:	Who does the housework in your home? - My wife and I do the housework together:	8263
A2	der Haushalt, -e(2)	Ich wasche die Wäsche und sie putzt und räumt auf.	I wash the laundry and she cleans and tidies up.	8263
A2	das Heft, -e	Hast du dein Heft dabei?	Do you have your notebook with you?	12764
A2	heiß	Vorsicht, der Tee ist heiß!	Be careful, the tea is hot!	1063
A2	heiß(2)	Mir ist heiß. Kannst du das Fenster öffnen?	I’m hot. Can you open the window?	1063
A2	die Heizung, -en	Es ist kalt. Ist die Heizung kaputt?	It’s cold. Is the heating broken?	9040
A2	das Hemd, -en	Nick trägt heute ein neues Hemd.	Nick is wearing a new shirt today.	2548
A2	her/her-/-her	Komm bitte mal her!	Come here, please!	10000000
A2	her/her-/-her(2)	Herein! Die Tür ist offen.	Come in! The door is open.	10000000
A2	her/her-/-her(3)	Woher kommen Sie?	Where are you from?	10000000
A2	heraus/raus	Möchtet ihr nicht rauskommen? Das Wetter ist so schön.	Don’t you want to come outside? The weather is so nice.	10000000
A2	heraus/raus(2)	Kannst du bitte den Müll rausbringen?	Could you please take out the trash?	10000000
A2	herein/rein	Herein! Die Tür ist offen.	Come in! The door is open.	10000000
A2	herein/rein(2)	Möchtest du nicht reinkommen? Ich kann uns einen Tee machen.	Would you like to come in? I can make us some tea.	10000000
A2	herstellen, stellt her, hat hergestellt	In unserer Firma stellen wir Möbel her.	In our company, we manufacture furniture.	6428
A2	herunterladen, lädt herunter, hat heruntergeladen	Er lädt die Musik aus dem Internet herunter.	He is downloading the music from the internet.	48322
A2	der Himmel (Sg.)	Heute ist so tolles Wetter: Der Himmel ist blau und es gibt keine Wolken.	Today the weather is so nice: The sky is blue and there are no clouds.	772
A2	hin/hin-/-hin	Wo gehst du hin?/Wohin gehst du?	Where are you going?/Where are you headed?	10000000
A2	hin/hin-/-hin(2)	Wohin ist Paul gegangen? – Ich glaube dorthin.	Where did Paul go? – I think he went there.	10000000
A2	hin/hin-/-hin(3)	Er geht in den Garten hinaus.	He is going out into the garden.	10000000
A2	hin/hin-/-hin(4)	Wir gehen ins Haus hinein.	We are going into the house.	10000000
A2	hinter	Hinter dem Haus haben wir einen Garten.	Behind the house, we have a garden.	424
A2	hoffen, hofft, hat gehofft	Ich hoffe, dass es dir gut geht.	I hope that you are doing well.	1746
A2	hoffentlich	Hoffentlich hat unser Zug keine Verspätung.	Hopefully, our train isn’t delayed.	1040
A2	die Homepage, -s	Auf der Homepage von Freiburg gibt es alle wichtigen Informationen über die Stadt.	The homepage of Freiburg has all the important information about the city.	36317
A2	die Homepage, -s	Kennst du eine Homepage mit Deutschübungen?	Do you know a website with German exercises?	36317
A2	die Hose, -n	Kann ich die Hose waschen?	Can I wash the pants?	1797
A2	husten, hustet, hat gehustet	Sie hustet seit zwei Tagen. Sie ist krank.	She has been coughing for two days. She is ill.	5893
A2	die Idee, -n	Was machen wir heute Abend? Hast du eine gute Idee?	What are we doing tonight? Do you have a good idea?	431
A2	informieren (sich), informiert, hat informiert	Ich möchte mich vor der Reise über das Land informieren.	I want to inform myself about the country before the trip.	3464
A2	informieren (sich), informiert, hat informiert(2)	Hast du dich über die Prüfung informiert?	Did you get information about the exam?	3464
A2	die Insel, -n	Ich möchte im Sommer auf einer Insel Urlaub machen.	I would like to vacation on an island in the summer.	1527
A2	die Insel, -n(2)	Rügen ist die größte deutsche Insel.	Rügen is the largest German island.	1527
A2	das Instrument, -e	Ich spiele Klavier. Spielen Sie auch ein Instrument?	I play the piano. Do you also play an instrument?	9000
A2	intelligent	Einstein war sehr intelligent.	Einstein was very intelligent.	4754
A2	das Interesse, -n	Ich habe viele Interessen: Sport, Lesen, Kultur, Reisen.	I have many interests: sports, reading, culture, traveling.	1610
A2	interessieren (sich), interessiert, hat interessiert	Ich interessiere mich für Fußball.	I am interested in soccer.	2422
A2	interessieren (sich), interessiert, hat interessiert(2)	Den Artikel über Brasilien finde ich sehr interessant.	I find the article about Brazil very interesting.	2422
A2	interessant	Ich lese gerade ein interessantes Buch.	I’m currently reading an interesting book.	1287
A2	das Interview, -s	Komm schnell! Im Radio kommt ein Interview mit deinem Lieblingssänger.	Come quickly! There is an interview with your favorite singer on the radio.	4165
A2	die Jeans (Pl.)	Ich mag Jeans lieber als Röcke.	I prefer jeans to skirts.	6852
A2	jeder, jede, jedes	Das Restaurant hat jeden Tag geöffnet.	The restaurant is open every day.	326
A2	jeder, jede, jedes(2)	Jedes Kind bekommt einen Ball.	Every child gets a ball.	326
A2	jemand	Hat jemand meinen Stift?	Has someone seen my pen?	192
A2	jemand(2)	Hallo, ist jemand da?	Hello, is anyone there?	192
A2	joggen, joggt, ist/hat gejoggt	Ich jogge gern im Park.	I like to jog in the park.	11058
A2	die Jugendherberge, -n	Wir übernachten in einer Jugendherberge.	We are staying in a youth hostel.	49801
A2	der/die Jugendliche, -n	Viele Jugendliche hören den ganzen Tag Musik.	Many young people listen to music all day.	10000000
A2	der/die Jugendliche, -n(2)	Der Eintritt für Kinder und Jugendliche bis 16 Jahre ist frei.	Admission is free for children and teenagers up to 16 years old.	10000000
A2	der Kalender, -	Haben Sie am Montag Zeit? - Einen Moment, ich schaue in meinem Kalender.	Do you have time on Monday? - One moment, I'll check my calendar.	7534
A2	der Kalender, - (2)	Ich schreibe alle Termine in meinen Kalender.	I write all appointments in my calendar.	7534
A2	kalt	Heute ist es sehr kalt.	Today it is very cold.	1065
A2	kalt(2)	Der Kaffee ist kalt. Ich möchte ihn nicht mehr trinken.	The coffee is cold. I don’t want to drink it anymore.	1065
A2	kalt(3)	Mir ist kalt.	I’m cold.	1065
A2	die Kamera, -s	Hannes hat eine neue Kamera. Er kann mit der Kamera Fotos und Filme machen.	Hannes has a new camera. He can take photos and videos with the camera.	1371
A2	der Käse (Sg.)	Isst du lieber Käse oder Wurst?	Do you prefer cheese or sausage?	2961
A2	die Katze, -n	Meine Tochter wünscht sich eine Katze.	My daughter wants a cat.	1772
A2	der Keller, -	Bitte bring die Kartoffeln in den Keller!	Please take the potatoes to the cellar!	1673
A2	der Keller, - (2)	Die Waschmaschinen sind im Keller.	The washing machines are in the basement.	1673
A2	die Kenntnisse (Pl.)	Deine Deutschkenntnisse sind sehr gut!	Your German skills are very good!	14753
A2	die Kenntnisse (Pl.)(2)	Ich möchte meine Computerkenntnisse verbessern.	I would like to improve my computer skills.	14753
A2	die Kette, -n	Meine Mutter bekommt eine schöne Kette zum Geburtstag.	My mother is getting a beautiful necklace for her birthday.	3571
A2	die Kirche, -n	Diese Kirche ist fast 800 Jahre alt.	This church is almost 800 years old.	1185
A2	klappen, klappt, hat geklappt	Können wir uns heute Mittag treffen? – Ja, das klappt.	Can we meet this afternoon? – Yes, that works.	4121
A2	klappen, klappt, hat geklappt(2)	Wie war die Reise? - Gut, es hat alles super geklappt.	How was the trip? - Good, everything went very well.	4121
A2	das Klavier, -e	Jakob kann sehr gut Klavier spielen.	Jakob can play the piano very well.	4058
A2	das Kleid, -er	Julia möchte ein rotes Kleid kaufen.	Julia wants to buy a red dress.	1395
A2	klug	Molly ist ein kluges Mädchen.	Molly is a clever girl.	2017
A2	klug(2)	Lisa ist sehr klug. Sie bekommt immer gute Noten.	Lisa is very smart. She always gets good grades.	2017
A2	klug(3)	Das ist klug von dir.	That’s clever of you.	2017
A2	komisch	Der Film war sehr komisch. Wir haben viel gelacht.	The film was very funny. We laughed a lot.	948
A2	komisch(2)	Eine grüne Hose und gelbe Schuhe? Das sieht komisch aus.	Green pants and yellow shoes? That looks strange.	948
A2	komisch(3)	Das Essen schmeckt komisch. Probier mal!	The food tastes weird. Try it!	948
A2	der Kontakt, -e	Ich habe wenig Kontakt zu meinen Kollegen.	I have little contact with my colleagues.	1244
A2	der Kontakt, -e(2)	Bitte schicken Sie mir Ihre Kontaktdaten!	Please send me your contact details.	1244
A2	kontrollieren, kontrolliert, hat kontrolliert	Können Sie bei meinem Auto bitte das Öl kontrollieren?	Could you please check the oil in my car?	2110
A2	kontrollieren, kontrolliert, hat kontrolliert(2)	Bitte öffnen Sie Ihren Koffer, wir müssen Ihr Gepäck kontrollieren.	Please open your suitcase; we need to check your luggage.	2110
A2	das Konzert, -e	Für das Konzert am Sonntag gibt es noch Karten.	There are still tickets available for the concert on Sunday.	3762
A2	der Körper, -	Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.	The doctor says I need to do something for my body, e.g., swim or ride a bike.	792
A2	die Kosmetik (Sg.)	Kosmetik können Sie im Erdgeschoss kaufen.	You can buy cosmetics on the ground floor.	31455
A2	kostenlos	Diese Zeitschrift kostet nichts. Sie ist kostenlos.	This magazine is free. It doesn’t cost anything.	9766
A2	das Krankenhaus, ¨-er	Meine Tante ist im Krankenhaus.	My aunt is in the hospital.	811
A2	das Krankenhaus, ¨-er(2)	Er hat sich verletzt und muss ins Krankenhaus.	He hurt himself and has to go to the hospital.	811
A2	die Krankenkasse, -n	Bei welcher Krankenkasse sind Sie?	Which health insurance are you with?	34379
A2	die Krankheit, -en	Welche Krankheit hat Herr Brandner?	What illness does Mr. Brandner have?	2082
A2	der Kredit, -e	Ich brauche einen Kredit von der Bank.	I need a loan from the bank.	5186
A2	der Kredit, -e(2)	Bezahlen Sie mit Kreditkarte?	Do you pay by credit card?	5186
A2	die Kreuzung, -en	Fahren Sie an der nächsten Kreuzung rechts.	Turn right at the next intersection.	8330
A2	der Krimi, -s	Miriam liest gern spannende Krimis.	Miriam likes to read thrilling crime novels.	24674
A2	der Krimi, -s(2)	Schauen wir am Sonntag zusammen den Tatort? – Nein, ich mag keine Krimis.	Shall we watch Tatort together on Sunday? – No, I don’t like crime shows.	24674
A2	kühl	Es ist kühl draußen. Zieh dir eine Jacke an.	It’s cool outside. Put on a jacket.	7958
A2	die Kultur, -en	Ich finde fremde Länder und Kulturen sehr interessant.	I find foreign countries and cultures very interesting.	4425
A2	die Kultur, -en(2)	Jana interessiert sich sehr für Kultur. Sie geht jede Woche ins Theater oder ins Museum.	Jana is very interested in culture. She goes to the theater or museum every week.	4425
A2	kümmern (sich), kümmert sich, hat sich gekümmert	Sonja kann nicht arbeiten. Sie muss sich um ihre Tochter kümmern.	Sonja can’t work. She has to take care of her daughter.	777
A2	kümmern (sich), kümmert sich, hat sich gekümmert(2)	Ich habe jetzt keine Zeit. Ich muss mich um das Essen kümmern.	I don’t have time right now. I need to take care of the food.	777
